,pclass,survived,sex,age,fare,family_size,avg_fare
50,1,True,female,58,512.33,2,256.17
51,1,False,male,33,5.0,1,5.0
52,1,False,male,28,47.1,1,47.1
53,1,False,male,17,47.1,1,47.1
54,1,True,male,11,120.0,4,30.0
55,1,True,female,14,120.0,4,30.0
56,1,True,male,36,120.0,4,30.0
57,1,True,female,36,120.0,4,30.0
58,1,False,male,49,26.0,1,26.0
59,1,True,female,28,27.72,1,27.72
60,1,False,male,36,78.85,2,39.42
61,1,True,female,76,78.85,2,39.42
62,1,False,male,46,61.18,2,30.59
63,1,True,female,47,61.18,2,30.59
64,1,True,male,27,53.1,2,26.55
65,1,True,female,33,53.1,2,26.55
66,1,True,female,36,262.38,1,262.38
67,1,True,female,30,86.5,1,86.5
68,1,True,male,45,29.7,1,29.7
69,1,True,female,28,55.0,2,27.5
70,1,False,male,28,0.0,1,0.0
71,1,False,male,27,136.78,2,68.39
72,1,True,female,26,136.78,2,68.39
73,1,True,female,22,151.55,1,151.55
74,1,False,male,28,52.0,1,52.0
75,1,False,male,47,25.59,1,25.59
76,1,True,female,39,83.16,3,27.72
77,1,False,male,37,83.16,3,27.72
78,1,True,female,64,83.16,3,27.72
79,1,True,female,55,25.7,3,8.57
80,1,False,male,28,26.55,1,26.55
81,1,False,male,70,71.0,3,23.67
82,1,True,female,36,71.0,3,23.67
83,1,True,female,64,26.55,3,8.85
84,1,False,male,39,71.28,2,35.64
85,1,True,female,38,71.28,2,35.64
86,1,True,male,51,26.55,1,26.55
87,1,True,male,27,30.5,1,30.5
88,1,True,female,33,151.55,1,151.55
89,1,False,male,31,52.0,2,26.0
90,1,True,female,27,52.0,4,13.0
91,1,True,male,31,57.0,2,28.5
92,1,True,female,17,57.0,2,28.5
93,1,True,male,53,81.86,3,27.29
94,1,True,male,4,81.86,3,27.29
95,1,True,female,54,81.86,3,27.29
96,1,False,male,50,106.42,2,53.21
97,1,True,female,27,247.52,3,82.51
98,1,True,female,48,106.42,2,53.21
99,1,True,female,48,39.6,2,19.8
100,1,True,male,49,56.93,2,28.46
101,1,False,male,39,29.7,1,29.7
102,1,True,female,23,83.16,2,41.58
103,1,True,female,38,227.52,1,227.52
104,1,True,female,54,78.27,2,39.14
105,1,False,female,36,31.68,1,31.68
106,1,False,male,28,221.78,1,221.78
107,1,True,female,28,31.68,1,31.68
108,1,True,female,28,110.88,1,110.88
109,1,True,male,36,26.39,1,26.39
110,1,False,male,30,27.75,1,27.75
111,1,True,female,24,263.0,6,43.83
112,1,True,female,28,263.0,6,43.83
113,1,True,female,23,263.0,6,43.83
114,1,False,male,19,263.0,6,43.83
115,1,False,male,64,263.0,6,43.83
116,1,True,female,60,263.0,6,43.83
117,1,True,female,30,56.93,1,56.93
118,1,False,male,28,26.55,1,26.55
119,1,True,male,50,133.65,3,44.55
120,1,True,male,43,27.72,2,13.86
121,1,True,female,28,133.65,2,66.82
122,1,True,female,22,49.5,3,16.5
123,1,True,male,60,79.2,3,26.4
124,1,True,female,48,79.2,3,26.4
125,1,False,male,28,0.0,1,0.0
126,1,False,male,37,53.1,2,26.55
127,1,True,female,35,53.1,2,26.55
128,1,False,male,47,38.5,1,38.5
129,1,True,female,35,211.5,1,211.5
130,1,True,female,22,59.4,2,29.7
131,1,True,female,45,59.4,2,29.7
132,1,False,male,24,79.2,1,79.2
133,1,True,male,49,89.1,2,44.55
134,1,True,female,28,89.1,2,44.55
135,1,False,male,71,34.65,1,34.65
136,1,True,male,53,28.5,1,28.5
137,1,True,female,19,30.0,1,30.0
138,1,False,male,38,153.46,2,76.73
139,1,True,female,58,153.46,2,76.73
140,1,True,male,23,63.36,2,31.68
141,1,True,female,45,63.36,2,31.68
142,1,False,male,46,79.2,1,79.2
143,1,True,male,25,55.44,2,27.72
144,1,True,female,25,55.44,2,27.72
145,1,True,male,48,76.73,2,38.36
146,1,True,female,49,76.73,2,38.36
147,1,False,male,28,42.4,1,42.4
148,1,False,male,45,83.48,2,41.74
149,1,True,female,35,83.48,2,41.74
150,1,False,male,40,0.0,1,0.0
151,1,True,male,27,76.73,1,76.73
152,1,True,male,28,30.0,1,30.0
153,1,True,female,24,83.16,1,83.16
154,1,False,male,55,93.5,3,31.17
155,1,True,female,52,93.5,3,31.17
156,1,False,male,42,42.5,1,42.5
157,1,False,male,28,51.86,1,51.86
158,1,False,male,55,50.0,1,50.0
159,1,True,female,16,57.98,2,28.99
160,1,True,female,44,57.98,2,28.99
161,1,True,female,51,77.96,2,38.98
162,1,False,male,42,52.0,2,26.0
163,1,True,female,35,52.0,2,26.0
164,1,True,male,35,26.55,1,26.55
165,1,True,male,38,90.0,2,45.0
166,1,False,male,28,30.7,1,30.7
167,1,True,female,35,90.0,2,45.0
168,1,True,female,38,80.0,1,80.0
169,1,False,female,50,28.71,1,28.71
170,1,True,male,49,0.0,1,0.0
171,1,False,male,46,26.0,1,26.0
172,1,False,male,50,26.0,1,26.0
173,1,False,male,32,211.5,1,211.5
174,1,False,male,58,29.7,1,29.7
175,1,False,male,41,51.86,2,25.93
176,1,True,female,28,51.86,2,25.93
177,1,True,male,42,52.55,2,26.28
178,1,True,female,45,52.55,2,26.28
179,1,False,male,28,26.55,1,26.55
180,1,True,female,39,211.34,1,211.34
181,1,True,female,49,25.93,1,25.93
182,1,True,female,30,106.42,1,106.42
183,1,True,male,35,512.33,1,512.33
184,1,False,male,28,27.72,1,27.72
185,1,False,male,42,26.55,1,26.55
186,1,True,female,55,27.72,1,27.72
187,1,True,female,16,39.4,2,19.7
188,1,True,female,51,39.4,2,19.7
189,1,False,male,29,30.0,1,30.0
190,1,True,female,21,77.96,1,77.96
191,1,False,male,30,45.5,1,45.5
192,1,True,female,58,146.52,1,146.52
193,1,True,female,15,211.34,2,105.67
194,1,False,male,30,26.0,1,26.0
195,1,True,female,16,86.5,1,86.5
196,1,True,male,28,29.7,1,29.7
197,1,False,male,19,53.1,2,26.55
198,1,True,female,18,53.1,2,26.55
199,1,True,female,24,49.5,1,49.5
200,1,False,male,46,75.24,1,75.24
201,1,False,male,54,51.86,1,51.86
202,1,True,male,36,26.29,1,26.29
203,1,False,male,28,82.17,2,41.08
204,1,True,female,28,82.17,2,41.08
205,1,False,male,65,26.55,1,26.55
206,1,False,male,44,90.0,3,30.0
207,1,True,female,33,90.0,2,45.0
208,1,True,female,37,90.0,2,45.0
209,1,True,male,30,57.75,2,28.88
210,1,False,male,55,30.5,1,30.5
211,1,False,male,47,42.4,1,42.4
212,1,False,male,37,29.7,2,14.85
213,1,True,female,31,113.28,2,56.64
214,1,True,female,23,113.28,2,56.64
215,1,False,male,58,113.28,3,37.76
216,1,True,female,19,26.28,3,8.76
217,1,False,male,64,26.0,1,26.0
218,1,True,female,39,108.9,1,108.9
219,1,True,male,28,25.74,1,25.74
220,1,True,female,22,61.98,2,30.99
221,1,False,male,65,61.98,2,30.99
222,1,False,male,28,27.72,1,27.72
223,1,False,male,28,0.0,1,0.0
224,1,False,male,46,28.5,1,28.5
225,1,False,male,23,93.5,1,93.5
226,1,False,male,29,66.6,2,33.3
227,1,True,female,22,66.6,2,33.3
228,1,False,male,18,108.9,2,54.45
229,1,True,female,17,108.9,2,54.45
230,1,True,female,30,93.5,1,93.5
231,1,True,male,52,30.5,1,30.5
232,1,False,male,47,52.0,1,52.0
233,1,True,female,56,83.16,2,41.58
234,1,False,male,38,0.0,1,0.0
235,1,True,male,28,39.6,1,39.6
236,1,False,male,22,135.63,1,135.63
237,1,False,male,28,227.52,1,227.52
238,1,True,female,43,211.34,2,105.67
239,1,False,male,31,50.5,1,50.5
240,1,True,male,45,26.55,1,26.55
241,1,False,male,28,50.0,1,50.0
242,1,True,female,33,27.72,1,27.72
243,1,False,male,46,79.2,1,79.2
244,1,False,male,36,40.12,1,40.12
245,1,True,female,33,86.5,1,86.5
246,1,False,male,55,59.4,2,29.7
247,1,True,female,54,59.4,2,29.7
248,1,False,male,33,26.55,1,26.55
249,1,True,male,13,262.38,5,52.48
250,1,True,female,18,262.38,5,52.48
251,1,True,female,21,262.38,5,52.48
252,1,False,male,61,262.38,5,52.48
253,1,True,female,48,262.38,5,52.48
254,1,True,male,28,30.5,1,30.5
255,1,True,female,24,69.3,1,69.3
256,1,True,male,28,26.0,1,26.0
257,1,True,female,35,57.75,2,28.88
258,1,True,female,30,31.0,1,31.0
259,1,True,male,34,26.55,1,26.55
260,1,True,female,40,153.46,1,153.46
261,1,True,male,35,26.29,1,26.29
262,1,False,male,50,55.9,2,27.95
263,1,True,female,39,55.9,2,27.95
264,1,True,male,56,35.5,1,35.5
265,1,True,male,28,35.5,1,35.5
266,1,False,male,56,26.55,1,26.55
267,1,False,male,56,30.7,1,30.7
268,1,False,male,24,60.0,2,30.0
269,1,False,male,28,26.0,1,26.0
270,1,True,female,18,60.0,2,30.0
271,1,True,male,24,82.27,2,41.14
272,1,True,female,23,82.27,2,41.14
273,1,True,male,6,134.5,3,44.83
274,1,True,male,45,134.5,3,44.83
275,1,True,female,40,134.5,3,44.83
276,1,False,male,57,146.52,2,73.26
277,1,True,female,28,146.52,2,73.26
278,1,True,male,32,30.5,1,30.5
279,1,False,male,62,26.55,1,26.55
280,1,True,male,54,55.44,2,27.72
281,1,True,female,43,55.44,2,27.72
282,1,True,female,52,78.27,2,39.14
283,1,False,male,28,27.72,1,27.72
284,1,True,female,62,80.0,1,80.0
285,1,False,male,67,221.78,2,110.89
286,1,False,female,63,221.78,2,110.89
287,1,False,male,61,32.32,1,32.32
288,1,True,female,48,25.93,1,25.93
289,1,True,female,18,79.65,3,26.55
290,1,False,male,52,79.65,3,26.55
291,1,True,female,39,79.65,3,26.55
292,1,True,male,48,52.0,2,26.0
293,1,True,female,28,52.0,2,26.0
294,1,False,male,49,110.88,3,36.96
295,1,True,male,17,110.88,3,36.96
296,1,True,female,39,110.88,3,36.96
297,1,True,female,28,79.2,1,79.2
298,1,True,male,31,28.54,1,28.54
299,1,False,male,40,27.72,1,27.72
300,1,False,male,61,33.5,1,33.5
301,1,False,male,47,34.02,1,34.02
302,1,True,female,35,512.33,1,512.33
303,1,False,male,64,75.25,2,37.62
304,1,True,female,60,75.25,2,37.62
305,1,False,male,60,26.55,1,26.55
306,1,False,male,54,77.29,2,38.65
307,1,False,male,21,77.29,2,38.65
308,1,True,female,55,135.63,1,135.63
309,1,True,female,31,164.87,3,54.96
310,1,False,male,57,164.87,3,54.96
311,1,True,female,45,164.87,3,54.96
312,1,False,male,50,211.5,3,70.5
313,1,False,male,27,211.5,3,70.5
314,1,True,female,50,211.5,3,70.5
315,1,True,female,21,26.55,1,26.55
316,1,False,male,51,61.38,2,30.69
317,1,True,male,21,61.38,2,30.69
318,1,False,male,28,35.0,1,35.0
319,1,True,female,31,134.5,1,134.5
320,1,True,male,28,35.5,1,35.5
321,1,False,male,62,26.55,1,26.55
322,1,True,female,36,135.63,1,135.63
323,2,False,male,30,24.0,2,12.0
324,2,True,female,28,24.0,2,12.0
325,2,False,male,30,13.0,1,13.0
326,2,False,male,18,11.5,1,11.5
327,2,False,male,25,10.5,1,10.5
328,2,False,male,34,26.0,2,13.0
329,2,True,female,36,26.0,2,13.0
330,2,False,male,57,13.0,1,13.0
331,2,False,male,18,11.5,1,11.5
332,2,False,male,23,10.5,1,10.5
333,2,True,female,36,13.0,1,13.0
334,2,False,male,28,10.5,1,10.5
335,2,False,male,51,12.52,1,12.52
336,2,True,male,32,26.0,2,13.0
337,2,True,female,19,26.0,2,13.0
338,2,False,male,28,26.0,1,26.0
339,2,True,male,1,39.0,4,9.75
340,2,True,female,4,39.0,4,9.75
341,2,True,female,12,39.0,4,9.75
342,2,True,female,36,39.0,4,9.75
343,2,True,male,34,13.0,1,13.0
344,2,True,female,19,13.0,1,13.0
345,2,False,male,23,13.0,1,13.0
346,2,False,male,26,13.0,1,13.0
347,2,False,male,42,13.0,1,13.0
348,2,False,male,27,13.0,1,13.0
349,2,True,female,24,13.0,1,13.0
350,2,True,female,15,39.0,3,13.0
351,2,False,male,60,39.0,3,13.0
352,2,True,female,40,39.0,3,13.0
353,2,True,female,20,26.0,2,13.0
354,2,False,male,25,26.0,2,13.0
355,2,True,female,36,13.0,1,13.0
356,2,False,male,25,13.0,1,13.0
357,2,False,male,42,13.0,1,13.0
358,2,True,female,42,13.0,1,13.0
359,2,True,male,1,29.0,3,9.67
360,2,True,male,26,29.0,3,9.67
361,2,True,female,22,29.0,3,9.67
362,2,True,female,35,21.0,1,21.0
363,2,False,male,28,0.0,1,0.0
364,2,False,male,19,13.0,1,13.0
365,2,False,female,44,26.0,2,13.0
366,2,False,male,54,26.0,2,13.0
367,2,False,male,52,13.5,1,13.5
368,2,False,male,37,26.0,2,13.0
369,2,False,female,29,26.0,2,13.0
370,2,True,female,25,30.0,3,10.0
371,2,True,female,45,30.0,3,10.0
372,2,False,male,29,26.0,2,13.0
373,2,True,female,28,26.0,2,13.0
374,2,False,male,29,10.5,1,10.5
375,2,False,male,28,13.0,1,13.0
376,2,True,male,24,10.5,1,10.5
377,2,True,female,8,26.25,3,8.75
378,2,False,male,31,26.25,3,8.75
379,2,True,female,31,26.25,3,8.75
380,2,True,female,22,10.5,1,10.5
381,2,False,female,30,13.0,1,13.0
382,2,False,female,28,21.0,1,21.0
383,2,False,male,21,11.5,1,11.5
384,2,False,male,28,0.0,1,0.0
385,2,True,male,8,36.75,3,12.25
386,2,False,male,18,73.5,1,73.5
387,2,True,female,48,36.75,3,12.25
388,2,True,female,28,13.0,1,13.0
389,2,False,male,32,13.0,1,13.0
390,2,False,male,17,73.5,1,73.5
391,2,False,male,29,27.72,2,13.86
392,2,True,female,24,27.72,2,13.86
393,2,False,male,25,31.5,1,31.5
394,2,False,male,18,73.5,1,73.5
395,2,True,female,18,23.0,2,11.5
396,2,True,female,34,23.0,2,11.5
397,2,False,male,54,26.0,1,26.0
398,2,True,male,8,32.5,3,10.83
399,2,False,male,42,32.5,3,10.83
400,2,True,female,34,32.5,3,10.83
401,2,True,female,27,13.86,2,6.93
402,2,True,female,30,13.86,2,6.93
403,2,False,male,23,13.0,1,13.0
404,2,False,male,21,13.0,1,13.0
405,2,False,male,18,13.0,1,13.0
406,2,False,male,40,26.0,2,13.0
407,2,True,female,29,26.0,2,13.0
408,2,False,male,18,10.5,1,10.5
409,2,False,male,36,13.0,1,13.0
410,2,False,male,28,0.0,1,0.0
411,2,False,female,38,13.0,1,13.0
412,2,False,male,35,26.0,1,26.0
413,2,False,male,38,21.0,2,10.5
414,2,False,male,34,21.0,2,10.5
415,2,True,female,34,13.0,1,13.0
416,2,False,male,16,26.0,1,26.0
417,2,False,male,26,10.5,1,10.5
418,2,False,male,47,10.5,1,10.5
419,2,False,male,21,11.5,2,5.75
420,2,False,male,21,11.5,2,5.75
421,2,False,male,24,13.5,1,13.5
422,2,False,male,24,13.0,1,13.0
423,2,False,male,34,13.0,1,13.0
424,2,False,male,30,13.0,1,13.0
425,2,False,male,52,13.0,1,13.0
426,2,False,male,30,13.0,1,13.0
427,2,True,male,1,14.5,3,4.83
428,2,True,female,24,14.5,3,4.83
429,2,False,male,44,13.0,1,13.0
430,2,True,female,6,33.0,2,16.5
431,2,False,male,28,33.0,2,16.5
432,2,True,male,62,10.5,1,10.5
433,2,False,male,30,10.5,1,10.5
434,2,True,female,7,26.25,3,8.75
435,2,False,male,43,26.25,3,8.75
436,2,True,female,45,26.25,3,8.75
437,2,True,female,24,65.0,4,16.25
438,2,True,female,24,65.0,4,16.25
439,2,False,male,49,65.0,4,16.25
440,2,True,female,48,65.0,4,16.25
441,2,True,female,55,16.0,1,16.0
442,2,False,male,24,73.5,3,24.5
443,2,False,male,32,73.5,3,24.5
444,2,False,male,21,73.5,3,24.5
445,2,False,female,18,13.0,3,4.33
446,2,True,female,20,23.0,4,5.75
447,2,False,male,23,11.5,4,2.88
448,2,False,male,36,13.0,1,13.0
449,2,True,female,54,23.0,5,4.6
450,2,False,male,50,13.0,1,13.0
451,2,False,male,44,26.0,2,13.0
452,2,True,female,29,26.0,2,13.0
453,2,False,male,21,73.5,1,73.5
454,2,True,male,42,13.0,1,13.0
455,2,False,male,63,26.0,2,13.0
456,2,False,female,60,26.0,2,13.0
457,2,False,male,33,12.28,1,12.28
458,2,True,female,17,10.5,1,10.5
459,2,False,male,42,27.0,2,13.5
460,2,True,female,24,27.0,4,6.75
461,2,False,male,47,15.0,1,15.0
462,2,False,male,24,31.5,3,10.5
463,2,False,male,22,31.5,3,10.5
464,2,False,male,32,10.5,1,10.5
465,2,True,female,23,13.79,1,13.79
466,2,False,male,34,26.0,2,13.0
467,2,True,female,24,26.0,2,13.0
468,2,False,female,22,21.0,1,21.0
469,2,True,female,28,12.35,1,12.35
470,2,False,male,35,12.35,1,12.35
471,2,True,female,45,13.5,1,13.5
472,2,False,male,57,12.35,1,12.35
473,2,False,male,28,0.0,1,0.0
474,2,False,male,31,10.5,1,10.5
475,2,False,female,26,26.0,3,8.67
476,2,False,male,30,26.0,3,8.67
477,2,False,male,28,10.71,1,10.71
478,2,True,female,1,41.58,4,10.4
479,2,True,female,3,41.58,4,10.4
480,2,False,male,25,41.58,4,10.4
481,2,True,female,22,41.58,4,10.4
482,2,True,female,17,12.0,1,12.0
483,2,True,female,28,33.0,1,33.0
484,2,True,female,34,10.5,1,10.5
485,2,False,male,36,12.88,1,12.88
486,2,False,male,24,10.5,1,10.5
487,2,False,male,61,12.35,1,12.35
488,2,False,male,50,26.0,2,13.0
489,2,True,female,42,26.0,2,13.0
490,2,False,female,57,10.5,1,10.5
491,2,False,male,28,15.05,1,15.05
492,2,True,male,1,37.0,3,12.33
493,2,False,male,31,37.0,3,12.33
494,2,True,female,24,37.0,3,12.33
495,2,False,male,28,15.58,1,15.58
496,2,False,male,30,13.0,1,13.0
497,2,False,male,40,16.0,1,16.0
498,2,False,male,32,13.5,1,13.5
499,2,False,male,30,13.0,1,13.0
500,2,False,male,46,26.0,1,26.0
501,2,True,female,13,19.5,2,9.75
502,2,True,female,41,19.5,2,9.75
503,2,True,male,19,10.5,1,10.5
504,2,False,male,39,13.0,1,13.0
505,2,False,male,48,13.0,1,13.0
506,2,False,male,70,10.5,1,10.5
507,2,False,male,27,13.0,1,13.0
508,2,False,male,54,14.0,1,14.0
509,2,False,male,39,26.0,1,26.0
510,2,False,male,16,10.5,1,10.5
511,2,False,male,62,9.69,1,9.69
512,2,False,male,32,30.07,2,15.04
513,2,True,female,14,30.07,2,15.04
514,2,True,male,2,26.0,3,8.67
515,2,True,male,3,26.0,3,8.67
516,2,False,male,36,26.0,3,8.67
517,2,False,male,26,13.0,1,13.0
518,2,False,male,19,36.75,3,12.25
519,2,False,male,28,13.5,1,13.5
520,2,True,male,20,13.86,1,13.86
521,2,True,female,29,10.5,1,10.5
522,2,False,male,39,13.0,1,13.0
523,2,True,male,22,10.5,1,10.5
524,2,True,male,28,13.86,1,13.86
525,2,False,male,23,10.5,1,10.5
526,2,True,male,29,13.86,1,13.86
527,2,False,male,28,10.5,1,10.5
528,2,False,male,28,0.0,1,0.0
529,2,True,female,50,26.0,2,13.0
530,2,False,male,19,10.5,1,10.5
531,2,False,male,28,15.05,1,15.05
532,2,False,male,41,13.0,1,13.0
533,2,True,female,21,21.0,2,10.5
534,2,True,female,19,26.0,1,26.0
535,2,False,male,43,21.0,2,10.5
536,2,True,female,32,13.0,1,13.0
537,2,False,male,34,13.0,1,13.0
538,2,True,male,30,12.74,1,12.74
539,2,False,male,27,15.03,1,15.03
540,2,True,female,2,26.0,3,8.67
541,2,True,female,8,26.0,3,8.67
542,2,True,female,33,26.0,3,8.67
543,2,False,male,36,10.5,1,10.5
544,2,False,male,34,21.0,2,10.5
545,2,True,female,30,21.0,4,5.25
546,2,True,female,28,13.0,1,13.0
547,2,False,male,23,15.05,1,15.05
548,2,True,male,1,18.75,3,6.25
549,2,True,male,3,18.75,3,6.25
550,2,True,female,24,18.75,6,3.12
551,2,True,female,50,10.5,1,10.5
552,2,False,male,19,10.5,1,10.5
553,2,True,female,21,10.5,1,10.5
554,2,False,male,26,13.0,1,13.0
555,2,False,male,25,13.0,1,13.0
556,2,False,male,27,26.0,1,26.0
557,2,True,female,25,26.0,2,13.0
558,2,True,female,18,13.0,3,4.33
559,2,True,female,20,36.75,1,36.75
560,2,True,female,30,13.0,1,13.0
561,2,False,male,59,13.5,1,13.5
562,2,True,female,30,12.35,1,12.35
563,2,False,male,35,10.5,1,10.5
564,2,True,female,40,13.0,1,13.0
565,2,False,male,25,13.0,1,13.0
566,2,False,male,41,15.05,1,15.05
567,2,False,male,25,10.5,1,10.5
568,2,False,male,18,13.0,1,13.0
569,2,False,male,14,65.0,1,65.0
570,2,True,female,50,10.5,1,10.5
571,2,False,male,23,13.0,1,13.0
572,2,True,female,28,12.65,1,12.65
573,2,True,female,27,10.5,1,10.5
574,2,False,male,29,21.0,2,10.5
575,2,False,female,27,21.0,2,10.5
576,2,False,male,40,13.0,1,13.0
577,2,True,female,31,21.0,1,21.0
578,2,False,male,30,21.0,2,10.5
579,2,False,male,23,10.5,2,5.25
580,2,True,female,31,21.0,1,21.0
581,2,False,male,28,0.0,1,0.0
582,2,True,female,12,15.75,1,15.75
583,2,True,female,40,15.75,1,15.75
584,2,True,female,32,13.0,1,13.0
585,2,False,male,27,26.0,2,13.0
586,2,True,female,29,26.0,2,13.0
587,2,True,male,2,23.0,3,7.67
588,2,True,female,4,23.0,3,7.67
589,2,True,female,29,23.0,3,7.67
590,2,True,female,1,27.75,4,6.94
591,2,True,female,5,27.75,4,6.94
592,2,False,male,36,27.75,4,6.94
593,2,True,female,33,27.75,4,6.94
594,2,False,male,66,10.5,1,10.5
595,2,False,male,28,12.88,1,12.88
596,2,True,male,31,13.0,1,13.0
597,2,True,male,28,13.0,1,13.0
598,2,True,female,26,13.5,1,13.5
599,2,False,female,24,13.0,1,13.0
600,3,False,male,42,7.55,1,7.55
601,3,False,male,13,20.25,3,6.75
602,3,False,male,16,20.25,3,6.75
603,3,True,female,35,20.25,3,6.75
604,3,True,female,16,7.65,1,7.65
605,3,True,male,25,7.65,1,7.65
606,3,True,male,20,7.92,1,7.92
607,3,True,female,18,7.23,1,7.23
608,3,False,male,30,7.25,1,7.25
609,3,False,male,26,8.05,1,8.05
610,3,False,female,40,9.48,2,4.74
611,3,True,male,1,9.35,2,4.68
612,3,True,female,18,9.35,2,4.68
613,3,True,male,26,18.79,1,18.79
614,3,False,male,26,7.89,1,7.89
615,3,False,male,20,7.92,1,7.92
616,3,False,male,24,7.05,1,7.05
617,3,False,male,25,7.05,1,7.05
618,3,False,male,35,8.05,1,8.05
619,3,False,male,18,8.3,1,8.3
620,3,False,male,32,22.52,1,22.52
621,3,True,female,19,7.85,2,3.92
622,3,False,male,4,31.28,7,4.47
623,3,False,female,6,31.28,7,4.47
624,3,False,female,2,31.28,7,4.47
625,3,True,female,17,7.92,7,1.13
626,3,False,female,38,7.78,7,1.11
627,3,False,female,9,31.28,7,4.47
628,3,False,female,11,31.28,7,4.47
629,3,False,male,39,31.28,7,4.47
630,3,True,male,27,7.8,1,7.8
631,3,False,male,26,7.78,1,7.78
632,3,False,female,39,31.28,7,4.47
633,3,False,male,20,7.85,1,7.85
634,3,False,male,26,7.9,1,7.9
635,3,False,male,25,17.8,2,8.9
636,3,False,female,18,17.8,2,8.9
637,3,False,male,24,7.78,1,7.78
638,3,False,male,35,7.05,1,7.05
639,3,False,male,5,31.39,7,4.48
640,3,False,male,9,31.39,7,4.48
641,3,True,male,3,31.39,7,4.48
642,3,False,male,13,31.39,7,4.48
643,3,True,female,5,31.39,7,4.48
644,3,False,male,40,31.39,7,4.48
645,3,True,male,23,7.8,1,7.8
646,3,True,female,38,31.39,7,4.48
647,3,True,female,45,7.22,1,7.22
648,3,False,male,21,7.22,1,7.22
649,3,False,male,23,7.05,1,7.05
650,3,False,female,17,14.46,1,14.46
651,3,False,male,30,7.22,1,7.22
652,3,False,male,23,7.85,1,7.85
653,3,True,female,13,7.23,1,7.23
654,3,False,male,20,7.22,1,7.22
655,3,False,male,32,15.85,2,7.92
656,3,True,female,33,15.85,4,3.96
657,3,True,female,1,19.26,4,4.82
658,3,True,female,1,19.26,4,4.82
659,3,True,female,5,19.26,4,4.82
660,3,True,female,24,19.26,4,4.82
661,3,True,female,18,8.05,1,8.05
662,3,False,male,40,7.22,1,7.22
663,3,False,male,26,7.9,1,7.9
664,3,True,male,20,7.23,1,7.23
665,3,False,female,18,14.45,2,7.22
666,3,False,female,45,14.45,2,7.22
667,3,False,female,27,7.88,1,7.88
668,3,False,male,22,8.05,1,8.05
669,3,False,male,19,8.05,1,8.05
670,3,False,male,26,7.78,1,7.78
671,3,False,male,22,9.35,1,9.35
672,3,False,male,28,7.23,1,7.23
673,3,False,male,20,4.01,1,4.01
674,3,True,male,32,56.5,1,56.5
675,3,False,male,21,7.78,1,7.78
676,3,False,male,18,7.75,1,7.75
677,3,False,male,26,7.9,1,7.9
678,3,False,male,6,15.25,3,5.08
679,3,False,female,9,15.25,3,5.08
680,3,False,male,28,7.22,1,7.22
681,3,False,female,28,15.25,3,5.08
682,3,False,female,28,7.75,3,2.58
683,3,False,male,40,15.5,3,5.17
684,3,False,female,32,15.5,3,5.17
685,3,False,male,21,16.1,1,16.1
686,3,True,female,22,7.72,1,7.72
687,3,False,female,20,7.85,1,7.85
688,3,False,male,29,7.05,2,3.52
689,3,False,male,22,7.25,2,3.62
690,3,False,male,22,7.8,1,7.8
691,3,False,male,35,8.05,1,8.05
692,3,False,female,18,7.28,1,7.28
693,3,True,male,21,7.82,1,7.82
694,3,False,male,19,6.75,1,6.75
695,3,False,female,18,7.88,1,7.88
696,3,False,female,21,8.66,1,8.66
